Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1618346224,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1618346225,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1618346226,3,,Aggregated,0.000000,0.000000,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1,0,1780.9999999881256,1780.9999999881256,1780.9999999881256,1780.9999999881256,0.0
1618346227,4,,Aggregated,0.000000,0.000000,1100,1100,1800,1800,1800,1800,1800,1800,1800,1800,1800,4,0,270.0,804.7499999956926,78.00000000861473,1780.9999999881256,0.0
1618346228,5,,Aggregated,0.000000,0.000000,270,270,1100,1100,1800,1800,1800,1800,1800,1800,1800,6,0,200.0,578.1666666589445,46.999999991385266,1780.9999999881256,0.0
1618346229,6,,Aggregated,0.000000,0.000000,230,300,1100,1100,1100,1800,1800,1800,1800,1800,1800,11,0,230.0,475.9090909051751,46.999999991385266,1780.9999999881256,0.0
1618346230,7,,Aggregated,1.000000,0.000000,78,270,280,300,1100,1800,1800,1800,1800,1800,1800,17,0,78,340.0588235304253,46.000000002095476,1780.9999999881256,0.0
1618346231,8,,Aggregated,1.500000,0.000000,63,200,270,280,1100,1100,1800,1800,1800,1800,1800,24,0,63,265.70833333486615,46.000000002095476,1780.9999999881256,0.0
1618346232,9,,Aggregated,2.200000,0.000000,63,78,230,240,300,1100,1800,1800,1800,1800,1800,32,0,63,219.71875000144792,46.000000002095476,1780.9999999881256,0.0
1618346233,10,,Aggregated,2.833333,0.000000,63,78,200,230,280,1100,1800,1800,1800,1800,1800,41,0,63,190.14634146488544,46.000000002095476,1780.9999999881256,0.0
1618346234,10,,Aggregated,3.428571,0.000000,62,63,78,220,270,1100,1100,1800,1800,1800,1800,51,0,62,165.74509804166726,46.000000002095476,1780.9999999881256,0.0
1618346235,10,,Aggregated,4.555556,0.000000,62,63,78,78,240,300,1100,1800,1800,1800,1800,61,0,62,148.04918033005976,46.000000002095476,1780.9999999881256,0.0
1618346236,10,,Aggregated,5.100000,0.000000,62,63,63,78,230,300,1100,1800,1800,1800,1800,71,0,62,134.25352112849203,46.000000002095476,1780.9999999881256,0.0
1618346237,10,,Aggregated,6.000000,0.000000,62,63,63,63,230,280,1100,1800,1800,1800,1800,81,0,62,124.2469135814858,30.999999988125637,1780.9999999881256,0.0
1618346238,10,,Aggregated,7.000000,0.000000,62,63,63,63,230,280,1100,1800,1800,1800,1800,91,0,62,115.71428571555221,30.999999988125637,1780.9999999881256,0.0
1618346239,10,,Aggregated,7.400000,0.000000,62,63,63,63,220,270,1100,1100,1800,1800,1800,101,0,62,109.68316831778145,30.999999988125637,1780.9999999881256,0.0
1618346240,10,,Aggregated,7.800000,0.000000,62,63,63,63,200,270,1100,1100,1800,1800,1800,111,0,62,105.44144144194696,30.999999988125637,1780.9999999881256,0.0
1618346241,10,,Aggregated,8.300000,0.000000,62,63,63,63,94,240,1100,1100,1800,1800,1800,121,0,62,102.04132231436323,30.999999988125637,1780.9999999881256,0.0
1618346242,10,,Aggregated,8.600000,0.000000,62,63,63,63,94,240,1100,1100,1800,1800,1800,130,0,62,99.67692307724904,30.999999988125637,1780.9999999881256,0.0
1618346243,10,,Aggregated,8.700000,0.000000,62,63,63,63,93,240,1100,1100,1800,1800,1800,138,0,62,96.95652173937508,30.999999988125637,1780.9999999881256,0.0
1618346244,10,,Aggregated,8.900000,0.000000,62,63,63,63,94,230,1100,1100,1800,1800,1800,144,0,62,95.63194444449942,30.999999988125637,1780.9999999881256,0.0
1618346245,10,,Aggregated,9.000000,0.000000,62,63,63,63,93,230,300,1100,1800,1800,1800,154,0,62,93.69480519501838,30.999999988125637,1780.9999999881256,0.0
1618346246,10,,Aggregated,9.000000,0.000000,62,63,63,63,93,230,300,1100,1800,1800,1800,164,0,62,91.51219512249355,30.999999988125637,1780.9999999881256,0.0
1618346247,10,,Aggregated,9.100000,0.000000,62,63,63,63,79,230,300,1100,1800,1800,1800,172,0,62,89.97674418686412,30.999999988125637,1780.9999999881256,0.0
1618346248,10,,Aggregated,9.100000,0.000000,62,63,63,63,79,230,300,1100,1800,1800,1800,181,0,62,88.18784530499039,30.999999988125637,1780.9999999881256,0.0
1618346249,10,,Aggregated,9.100000,0.000000,62,63,63,63,79,230,300,1100,1800,1800,1800,191,0,62,86.42408377076475,30.999999988125637,1780.9999999881256,0.0
1618346250,10,,Aggregated,9.400000,0.000000,62,63,63,63,79,220,280,1100,1800,1800,1800,201,0,62,85.01492537394749,30.999999988125637,1780.9999999881256,0.0
1618346251,10,,Aggregated,9.700000,0.000000,62,63,63,63,79,220,280,1100,1800,1800,1800,211,0,62,83.78199052236096,30.999999988125637,1780.9999999881256,0.0
1618346252,10,,Aggregated,9.800000,0.000000,62,63,63,63,79,200,280,1100,1800,1800,1800,221,0,62,82.19004524974426,30.999999988125637,1780.9999999881256,0.0
1618346253,10,,Aggregated,9.700000,0.000000,62,63,63,63,78,200,280,1100,1800,1800,1800,231,0,62,81.12554112638274,30.999999988125637,1780.9999999881256,0.0
1618346254,10,,Aggregated,9.700000,0.000000,62,63,63,63,78,94,280,1100,1800,1800,1800,241,0,62,79.96265560253794,30.999999988125637,1780.9999999881256,0.0
1618346255,10,,Aggregated,9.700000,0.000000,62,63,63,63,78,94,270,1100,1800,1800,1800,251,0,62,79.02788844695166,30.999999988125637,1780.9999999881256,0.0
1618346256,10,,Aggregated,9.400000,0.000000,62,63,63,63,78,94,270,1100,1800,1800,1800,261,0,62,78.38697318075549,30.999999988125637,1780.9999999881256,0.0
1618346257,10,,Aggregated,9.300000,0.000000,62,63,63,63,78,220,280,1100,1800,1800,1800,271,0,62,79.87084870909278,30.999999988125637,1780.9999999881256,0.0
1618346258,10,,Aggregated,9.300000,0.000000,62,63,63,63,78,200,280,1100,1800,1800,1800,281,0,62,78.98220640606763,30.999999988125637,1780.9999999881256,0.0
1618346259,10,,Aggregated,9.000000,0.000000,62,63,63,63,78,200,280,1100,1800,1800,1800,289,0,62,78.3702422147512,30.999999988125637,1780.9999999881256,0.0
1618346260,10,,Aggregated,9.000000,0.000000,62,63,63,63,79,200,280,1100,1800,1800,1800,291,0,62,78.37457044693782,30.999999988125637,1780.9999999881256,0.0
1618346261,10,,Aggregated,9.000000,0.000000,62,63,63,63,93,280,610,620,1800,1800,1800,301,0,62,93.88372093039577,30.999999988125637,1780.9999999881256,0.0
1618346262,10,,Aggregated,9.000000,0.000000,62,63,63,63,200,280,610,620,1800,1800,1800,311,0,62,97.90032154382985,30.999999988125637,1780.9999999881256,0.0
1618346263,10,,Aggregated,9.300000,0.000000,62,63,63,78,200,270,610,620,1800,1800,1800,321,0,62,97.00000000041561,30.999999988125637,1780.9999999881256,0.0
1618346264,10,,Aggregated,8.300000,0.000000,62,63,63,78,200,270,610,620,1800,1800,1800,331,0,62,96.57401812754873,30.999999988125637,1780.9999999881256,0.0
1618346265,10,,Aggregated,8.300000,0.000000,62,63,63,78,200,260,610,620,1800,1800,1800,341,0,62,95.63049853411012,30.999999988125637,1780.9999999881256,0.0
1618346266,10,,Aggregated,8.600000,0.000000,62,63,63,78,110,260,590,620,1800,1800,1800,351,0,62,94.472934473359,30.999999988125637,1780.9999999881256,0.0
1618346267,10,,Aggregated,8.700000,0.000000,62,63,63,78,94,250,590,620,1800,1800,1800,361,0,62,93.66481994522846,30.999999988125637,1780.9999999881256,0.0
1618346268,10,,Aggregated,8.700000,0.000000,62,63,63,78,94,250,590,620,1800,1800,1800,364,0,62,93.41208791266871,30.999999988125637,1780.9999999881256,0.0
1618346269,10,,Aggregated,8.700000,0.000000,62,63,63,78,94,250,590,620,1800,1800,1800,371,0,62,92.781671159634,30.999999988125637,1780.9999999881256,0.0
