Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1618347003,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1618347004,2,,Aggregated,0.000000,0.000000,360,360,360,360,360,360,360,360,360,360,360,1,0,359.99999998603016,359.99999998603016,359.99999998603016,359.99999998603016,0.0
1618347005,3,,Aggregated,0.000000,0.000000,250,250,360,360,360,360,360,360,360,360,360,3,0,250.0,234.33333332650363,92.99999999348074,359.99999998603016,0.0
1618347006,4,,Aggregated,0.000000,0.000000,250,250,250,360,360,360,360,360,360,360,360,5,0,250.0,202.9999999969732,62.000000005355105,359.99999998603016,0.0
1618347007,5,,Aggregated,1.000000,0.000000,250,250,360,360,810,810,810,810,810,810,810,8,0,230.0,263.7499999946158,46.999999991385266,812.9999999946449,0.0
1618347008,6,,Aggregated,1.500000,0.000000,250,250,360,810,950,950,950,950,950,950,950,10,0,250.0,331.2999999965541,46.999999991385266,953.0000000086147,0.0
1618347009,7,,Aggregated,1.666667,0.000000,250,360,810,810,950,1000,1000,1000,1000,1000,1000,11,0,250.0,392.0909090877765,46.999999991385266,1000.0,0.0
1618347010,8,,Aggregated,2.000000,0.000000,360,950,1000,1000,1900,2000,2000,2000,2000,2000,2000,18,0,260.0,654.4444444411461,46.999999991385266,2000.0,0.0
1618347011,9,,Aggregated,2.000000,0.000000,250,360,950,980,1200,1900,2000,2000,2000,2000,2000,26,0,250.0,479.65384615012084,46.999999991385266,2000.0,0.0
1618347012,10,,Aggregated,1.833333,0.000000,63,250,360,950,1000,1900,2000,2000,2000,2000,2000,35,0,63,375.4857142830068,46.000000002095476,2000.0,0.0
1618347013,10,,Aggregated,2.571429,0.000000,63,240,250,360,1000,1200,2000,2000,2000,2000,2000,45,0,63,309.11111110860173,46.000000002095476,2000.0,0.0
1618347014,10,,Aggregated,3.250000,0.000000,63,63,250,260,980,1200,1900,2000,2000,2000,2000,55,0,63,261.3999999974939,46.000000002095476,2000.0,0.0
1618347015,10,,Aggregated,3.888889,0.000000,63,63,230,250,950,1000,1900,2000,2000,2000,2000,65,0,63,229.8769230743906,46.000000002095476,2000.0,0.0
1618347016,10,,Aggregated,4.500000,0.000000,62,63,63,250,810,1000,1900,2000,2000,2000,2000,75,0,62,206.8933333316818,46.000000002095476,2000.0,0.0
1618347017,10,,Aggregated,5.400000,0.000000,63,63,78,230,360,1000,1900,2000,2000,2000,2000,85,0,63,190.82352940869683,46.000000002095476,2000.0,0.0
1618347018,10,,Aggregated,7.000000,0.000000,63,63,78,94,360,1000,1900,2000,2000,2000,2000,89,0,63,184.5168539295444,46.000000002095476,2000.0,0.0
1618347019,10,,Aggregated,7.700000,0.000000,63,78,230,250,1000,1200,1900,2000,2000,2000,2000,99,0,63,244.9696969680107,46.000000002095476,2000.0,0.0
1618347020,10,,Aggregated,7.700000,0.000000,63,78,94,250,1000,1200,1200,1900,2000,2000,2000,109,0,63,229.50458715519218,46.000000002095476,2000.0,0.0
1618347021,10,,Aggregated,7.800000,0.000000,63,78,94,230,980,1200,1200,1900,2000,2000,2000,119,0,63,216.29411764633684,46.000000002095476,2000.0,0.0
1618347022,10,,Aggregated,8.100000,0.000000,63,78,94,230,950,1200,1200,1900,2000,2000,2000,122,0,63,212.13114754006756,46.000000002095476,2000.0,0.0
1618347023,10,,Aggregated,8.100000,0.000000,63,78,79,160,950,1200,1200,1900,2000,2000,2000,129,0,63,203.89147286728394,46.000000002095476,2000.0,0.0
1618347024,10,,Aggregated,8.300000,0.000000,63,78,78,94,810,1200,1200,1900,2000,2000,2000,139,0,63,193.72661870367418,46.000000002095476,2000.0,0.0
1618347025,10,,Aggregated,8.400000,0.000000,63,63,78,94,360,1200,1200,1900,2000,2000,2000,149,0,63,184.28187919354798,46.000000002095476,2000.0,0.0
1618347026,10,,Aggregated,8.400000,0.000000,63,63,78,93,280,1200,1200,1900,2000,2000,2000,159,0,63,176.23270440128422,46.000000002095476,2000.0,0.0
1618347027,10,,Aggregated,8.400000,0.000000,63,63,78,78,270,1200,1200,1900,2000,2000,2000,169,0,63,168.85798816436892,46.000000002095476,2000.0,0.0
1618347028,10,,Aggregated,8.400000,0.000000,63,63,78,78,260,1200,1200,1900,2000,2000,2000,179,0,63,163.18435754071578,46.000000002095476,2000.0,0.0
1618347029,10,,Aggregated,8.400000,0.000000,63,63,78,78,250,1000,1200,1900,2000,2000,2000,189,0,63,157.35449735352415,46.000000002095476,2000.0,0.0
1618347030,10,,Aggregated,8.400000,0.000000,62,63,78,78,250,1000,1200,1900,2000,2000,2000,199,0,62,152.11557788860952,46.000000002095476,2000.0,0.0
1618347031,10,,Aggregated,9.200000,0.000000,62,63,78,78,250,1000,1200,1200,2000,2000,2000,209,0,62,147.38277511857228,46.000000002095476,2000.0,0.0
1618347032,10,,Aggregated,10.000000,0.000000,62,63,63,78,250,1000,1200,1200,2000,2000,2000,219,0,62,143.14155251034387,46.000000002095476,2000.0,0.0
1618347033,10,,Aggregated,10.000000,0.000000,62,63,63,78,250,980,1200,1200,2000,2000,2000,229,0,62,141.31877729153223,46.000000002095476,2000.0,0.0
1618347034,10,,Aggregated,9.900000,0.000000,62,63,63,78,240,980,1200,1200,2000,2000,2000,238,0,62,138.73949579717473,46.000000002095476,2000.0,0.0
1618347035,10,,Aggregated,9.200000,0.000000,62,63,63,78,230,950,1200,1200,2000,2000,2000,248,0,62,135.47580645066657,46.000000002095476,2000.0,0.0
1618347036,10,,Aggregated,9.000000,0.000000,62,63,63,78,230,950,1200,1200,2000,2000,2000,258,0,62,132.63565891360514,46.000000002095476,2000.0,0.0
1618347037,10,,Aggregated,9.000000,0.000000,62,63,78,78,230,810,1200,1200,2000,2000,2000,268,0,62,135.57089552146022,46.000000002095476,2000.0,0.0
