Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1618343694,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1618343695,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1618343696,3,,Aggregated,0.000000,0.000000,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1,0,1750.0,1750.0,1750.0,1750.0,0.0
1618343697,4,,Aggregated,0.000000,0.000000,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1,0,1750.0,1750.0,1750.0,1750.0,0.0
1618343698,5,,Aggregated,0.000000,0.000000,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1,0,1750.0,1750.0,1750.0,1750.0,0.0
1618343699,6,,Aggregated,0.500000,0.000000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,2,0,1800.0,2695.000000006985,1750.0,3640.00000001397,0.0
1618343700,7,,Aggregated,0.333333,0.000000,3200,3200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3,0,3200.0,2853.6666666720216,1750.0,3640.00000001397,0.0
1618343701,8,,Aggregated,0.333333,0.000000,3200,3200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3,0,3200.0,2853.6666666720216,1750.0,3640.00000001397,0.0
1618343702,9,,Aggregated,0.333333,0.000000,3200,3200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3,0,3200.0,2853.6666666720216,1750.0,3640.00000001397,0.0
1618343703,10,,Aggregated,0.428571,0.000000,4000,4000,5400,5400,6000,6000,6000,6000,6000,6000,6000,6,0,3600.0,4002.1666666677143,1750.0,6030.999999988126,0.0
1618343704,10,,Aggregated,0.428571,0.000000,4000,5200,5400,5400,6000,6000,6000,6000,6000,6000,6000,7,0,4000.0,4176.000000002595,1750.0,6030.999999988126,0.0
1618343705,10,,Aggregated,0.428571,0.000000,4000,5200,5400,5400,6000,6000,6000,6000,6000,6000,6000,7,0,4000.0,4176.000000002595,1750.0,6030.999999988126,0.0
1618343706,10,,Aggregated,0.700000,0.000000,4000,5200,5400,5800,6000,6000,6000,6000,6000,6000,6000,9,0,4000.0,4100.444444448739,1750.0,6030.999999988126,0.0
1618343707,10,,Aggregated,0.700000,0.000000,4000,5200,5400,5800,6000,6000,6000,6000,6000,6000,6000,9,0,4000.0,4100.444444448739,1750.0,6030.999999988126,0.0
1618343708,10,,Aggregated,0.600000,0.000000,4000,5200,5400,5400,5800,6000,6000,6000,6000,6000,6000,11,0,4000.0,4092.0909090941263,1750.0,6030.999999988126,0.0
1618343709,10,,Aggregated,0.600000,0.000000,4700,5200,5800,5800,6000,9000,9000,9000,9000,9000,9000,12,0,4000.0,4503.666666671052,1750.0,9031.00000001723,0.0
1618343710,10,,Aggregated,0.800000,0.000000,4000,5200,5400,5800,6000,9000,9000,9000,9000,9000,9000,13,0,4000.0,4213.692307696105,733.9999999967404,9031.00000001723,0.0
1618343711,10,,Aggregated,1.000000,0.000000,5200,5800,8600,8600,10000,10000,10000,10000,10000,10000,10000,16,0,4700.0,5207.875000001877,733.9999999967404,10030.999999988126,0.0
1618343712,10,,Aggregated,1.000000,0.000000,5100,5800,6000,8600,10000,10000,10000,10000,10000,10000,10000,17,0,5100.0,5203.882352943765,733.9999999967404,10030.999999988126,0.0
1618343713,10,,Aggregated,1.200000,0.000000,5200,5800,8600,9000,10000,10000,10000,10000,10000,10000,10000,18,0,5100.0,5472.944444446411,733.9999999967404,10046.999999991385,0.0
1618343714,10,,Aggregated,1.200000,0.000000,5200,6000,9000,9400,10000,10000,10000,10000,10000,10000,10000,19,0,5200.0,5681.631578948949,733.9999999967404,10046.999999991385,0.0
1618343715,10,,Aggregated,1.300000,0.000000,5100,5800,8600,9000,10000,10000,10000,10000,10000,10000,10000,22,0,5000.0,5223.636363635623,640.9999999741558,10046.999999991385,0.0
1618343716,10,,Aggregated,1.200000,0.000000,5000,5400,8600,9000,10000,10000,10000,10000,10000,10000,10000,24,0,5000.0,5197.8333333318005,640.9999999741558,10046.999999991385,0.0
1618343717,10,,Aggregated,1.200000,0.000000,5000,5800,8600,9400,10000,10000,10000,10000,10000,10000,10000,25,0,5000.0,5365.519999999087,640.9999999741558,10046.999999991385,0.0
1618343718,10,,Aggregated,1.600000,0.000000,5100,6000,9000,9400,10000,10000,10000,10000,10000,10000,10000,26,0,5000.0,5519.1538461524315,640.9999999741558,10046.999999991385,0.0
1618343719,10,,Aggregated,1.600000,0.000000,5100,6000,9000,9400,10000,10000,10000,10000,10000,10000,10000,26,0,5000.0,5519.1538461524315,640.9999999741558,10046.999999991385,0.0
1618343720,10,,Aggregated,1.600000,0.000000,5100,6000,9000,9400,10000,10000,10000,10000,10000,10000,10000,26,0,5000.0,5519.1538461524315,640.9999999741558,10046.999999991385,0.0
