Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1618341960,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1618341961,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1618341962,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1618341963,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1618341964,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1618341965,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1618341966,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1618341967,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1618341968,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1618341969,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1618341970,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1618341971,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1618341972,1,,Aggregated,0.000000,0.000000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,1,0,12030.999999988126,12030.999999988126,12030.999999988126,12030.999999988126,0.0
1618341973,1,,Aggregated,0.000000,0.000000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,1,0,12030.999999988126,12030.999999988126,12030.999999988126,12030.999999988126,0.0
1618341974,1,,Aggregated,0.000000,0.000000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,2,0,250.0,6140.499999994063,250.0,12030.999999988126,0.0
1618341975,1,,Aggregated,0.000000,0.000000,250,250,12000,12000,12000,12000,12000,12000,12000,12000,12000,3,0,250.0,4155.999999997827,187.0000000053551,12030.999999988126,0.0
1618341976,1,,Aggregated,0.100000,0.000000,250,250,12000,12000,12000,12000,12000,12000,12000,12000,12000,4,0,190.0,3132.499999999709,62.000000005355105,12030.999999988126,0.0
1618341977,1,,Aggregated,0.200000,0.000000,190,250,250,12000,12000,12000,12000,12000,12000,12000,12000,5,0,190.0,2537.1999999973923,62.000000005355105,12030.999999988126,0.0
1618341978,1,,Aggregated,0.400000,0.000000,190,190,250,250,12000,12000,12000,12000,12000,12000,12000,6,0,170.0,2142.999999996391,62.000000005355105,12030.999999988126,0.0
1618341979,1,,Aggregated,0.500000,0.000000,170,190,250,250,12000,12000,12000,12000,12000,12000,12000,7,0,170.0,1850.2857142843172,62.000000005355105,12030.999999988126,0.0
1618341980,1,,Aggregated,0.500000,0.000000,170,190,250,250,12000,12000,12000,12000,12000,12000,12000,7,0,170.0,1850.2857142843172,62.000000005355105,12030.999999988126,0.0
1618341981,1,,Aggregated,0.500000,0.000000,190,250,640,640,12000,12000,12000,12000,12000,12000,12000,8,0,170.0,1698.999999996886,62.000000005355105,12030.999999988126,0.0
1618341982,1,,Aggregated,0.600000,0.000000,170,190,250,640,12000,12000,12000,12000,12000,12000,12000,9,0,170.0,1515.444444440719,46.999999991385266,12030.999999988126,0.0
1618341983,1,,Aggregated,0.700000,0.000000,170,190,250,640,12000,12000,12000,12000,12000,12000,12000,10,0,160.0,1370.1999999961117,46.999999991385266,12030.999999988126,0.0
1618341984,1,,Aggregated,0.900000,0.000000,160,190,250,250,640,12000,12000,12000,12000,12000,12000,11,0,160.0,1255.5454545416235,46.999999991385266,12030.999999988126,0.0
1618341985,1,,Aggregated,0.900000,0.000000,170,190,250,250,640,12000,12000,12000,12000,12000,12000,12,0,160.0,1169.1666666641443,46.999999991385266,12030.999999988126,0.0
1618341986,1,,Aggregated,0.800000,0.000000,160,190,220,250,640,12000,12000,12000,12000,12000,12000,13,0,160.0,1083.9999999980837,46.999999991385266,12030.999999988126,0.0
1618341987,1,,Aggregated,0.800000,0.000000,160,190,220,250,640,12000,12000,12000,12000,12000,12000,14,0,110.0,1011.0714285692666,46.999999991385266,12030.999999988126,0.0
1618341988,1,,Aggregated,0.800000,0.000000,110,170,220,250,640,12000,12000,12000,12000,12000,12000,15,0,110.0,947.7999999983391,46.999999991385266,12030.999999988126,0.0
1618341989,1,,Aggregated,0.800000,0.000000,110,170,220,250,640,12000,12000,12000,12000,12000,12000,15,0,110.0,947.7999999983391,46.999999991385266,12030.999999988126,0.0
1618341990,1,,Aggregated,0.900000,0.000000,160,190,250,250,880,12000,12000,12000,12000,12000,12000,16,0,110.0,943.249999998443,46.999999991385266,12030.999999988126,0.0
1618341991,1,,Aggregated,0.900000,0.000000,160,220,250,310,880,12000,12000,12000,12000,12000,12000,17,0,160.0,906.117647057673,46.999999991385266,12030.999999988126,0.0
1618341992,1,,Aggregated,0.900000,0.000000,160,220,250,310,880,12000,12000,12000,12000,12000,12000,17,0,160.0,906.117647057673,46.999999991385266,12030.999999988126,0.0
1618341993,1,,Aggregated,0.800000,0.000000,160,190,250,310,880,12000,12000,12000,12000,12000,12000,18,0,110.0,860.9999999995731,46.999999991385266,12030.999999988126,0.0
1618341994,1,,Aggregated,0.800000,0.000000,110,190,250,310,880,12000,12000,12000,12000,12000,12000,19,0,110.0,818.1578947359843,46.999999991385266,12030.999999988126,0.0
1618341995,1,,Aggregated,0.800000,0.000000,110,190,250,310,880,12000,12000,12000,12000,12000,12000,19,0,110.0,818.1578947359843,46.999999991385266,12030.999999988126,0.0
1618341996,1,,Aggregated,0.900000,0.000000,160,220,310,640,1400,12000,12000,12000,12000,12000,12000,20,0,110.0,845.2499999984866,46.999999991385266,12030.999999988126,0.0
1618341997,1,,Aggregated,0.800000,0.000000,110,190,250,310,880,1400,12000,12000,12000,12000,12000,21,0,110.0,807.1904761891346,46.000000002095476,12030.999999988126,0.0
1618341998,1,,Aggregated,0.700000,0.000000,110,190,250,310,880,1400,12000,12000,12000,12000,12000,22,0,94,773.3636363621124,46.000000002095476,12030.999999988126,0.0
1618341999,1,,Aggregated,0.700000,0.000000,110,220,250,310,880,1400,12000,12000,12000,12000,12000,23,0,110.0,749.2608695642759,46.000000002095476,12030.999999988126,0.0
1618342000,1,,Aggregated,0.700000,0.000000,110,190,250,310,880,1400,12000,12000,12000,12000,12000,24,0,94,720.6666666655414,46.000000002095476,12030.999999988126,0.0
1618342001,1,,Aggregated,0.700000,0.000000,94,190,220,310,880,1400,12000,12000,12000,12000,12000,25,0,94,693.7199999985751,46.000000002095476,12030.999999988126,0.0
1618342002,1,,Aggregated,0.800000,0.000000,94,190,220,250,880,1400,12000,12000,12000,12000,12000,26,0,94,668.8461538444524,46.000000002095476,12030.999999988126,0.0
1618342003,1,,Aggregated,0.800000,0.000000,94,190,220,250,880,1400,12000,12000,12000,12000,12000,26,0,94,668.8461538444524,46.000000002095476,12030.999999988126,0.0
1618342004,1,,Aggregated,0.800000,0.000000,94,190,250,310,940,1400,12000,12000,12000,12000,12000,27,0,94,678.814814812978,46.000000002095476,12030.999999988126,0.0
1618342005,1,,Aggregated,0.800000,0.000000,94,190,250,310,940,1400,12000,12000,12000,12000,12000,28,0,94,656.2499999979211,46.000000002095476,12030.999999988126,0.0
1618342007,1,,Aggregated,0.700000,0.000000,94,190,220,310,940,1400,12000,12000,12000,12000,12000,29,0,94,635.793103446084,46.000000002095476,12030.999999988126,0.0
1618342008,1,,Aggregated,0.800000,0.000000,94,170,220,310,940,1400,12000,12000,12000,12000,12000,30,0,93,617.6999999976639,46.000000002095476,12030.999999988126,0.0
1618342009,1,,Aggregated,0.900000,0.000000,94,170,220,250,880,1400,12000,12000,12000,12000,12000,31,0,94,601.3225806433887,46.000000002095476,12030.999999988126,0.0
1618342010,1,,Aggregated,0.900000,0.000000,94,170,220,250,880,1400,12000,12000,12000,12000,12000,31,0,94,601.3225806433887,46.000000002095476,12030.999999988126,0.0
1618342011,1,,Aggregated,0.900000,0.000000,94,170,220,250,880,1400,12000,12000,12000,12000,12000,32,0,94,585.468749998654,46.000000002095476,12030.999999988126,0.0
1618342012,1,,Aggregated,0.800000,0.000000,94,160,220,250,880,1400,12000,12000,12000,12000,12000,33,0,94,569.6060606049176,46.000000002095476,12030.999999988126,0.0
1618342013,1,,Aggregated,0.800000,0.000000,94,170,220,310,880,1400,12000,12000,12000,12000,12000,34,0,94,571.2352941165377,46.000000002095476,12030.999999988126,0.0
1618342014,1,,Aggregated,0.800000,0.000000,94,170,220,310,880,1400,12000,12000,12000,12000,12000,35,0,94,556.2571428558191,46.000000002095476,12030.999999988126,0.0
1618342015,1,,Aggregated,0.800000,0.000000,94,160,220,250,880,1400,12000,12000,12000,12000,12000,36,0,93,542.9722222211744,46.000000002095476,12030.999999988126,0.0
1618342016,1,,Aggregated,0.900000,0.000000,93,160,220,250,880,1400,12000,12000,12000,12000,12000,37,0,93,529.9999999988358,46.000000002095476,12030.999999988126,0.0
1618342017,1,,Aggregated,0.800000,0.000000,93,160,220,250,880,1400,12000,12000,12000,12000,12000,38,0,78,517.6842105253232,46.000000002095476,12030.999999988126,0.0
1618342018,1,,Aggregated,0.800000,0.000000,93,160,220,250,880,1400,12000,12000,12000,12000,12000,38,0,78,517.6842105253232,46.000000002095476,12030.999999988126,0.0
1618342019,1,,Aggregated,0.800000,0.000000,78,110,220,250,880,1400,12000,12000,12000,12000,12000,39,0,78,506.0256410245366,46.000000002095476,12030.999999988126,0.0
1618342020,1,,Aggregated,0.800000,0.000000,78,110,220,250,880,1400,12000,12000,12000,12000,12000,40,0,63,494.92499999905704,46.000000002095476,12030.999999988126,0.0
1618342021,1,,Aggregated,0.800000,0.000000,63,110,190,220,640,940,12000,12000,12000,12000,12000,41,0,63,484.3658536577472,46.000000002095476,12030.999999988126,0.0
1618342022,1,,Aggregated,0.900000,0.000000,78,110,190,220,640,940,12000,12000,12000,12000,12000,42,0,63,474.6904761899107,46.000000002095476,12030.999999988126,0.0
1618342023,1,,Aggregated,0.900000,0.000000,63,110,190,220,640,940,12000,12000,12000,12000,12000,43,0,63,465.1162790690906,46.000000002095476,12030.999999988126,0.0
1618342024,1,,Aggregated,0.900000,0.000000,63,110,190,220,640,940,12000,12000,12000,12000,12000,44,0,63,455.9545454540057,46.000000002095476,12030.999999988126,0.0
1618342025,1,,Aggregated,0.900000,0.000000,63,94,170,220,640,940,12000,12000,12000,12000,12000,45,0,63,447.22222222157546,46.000000002095476,12030.999999988126,0.0
1618342026,1,,Aggregated,0.900000,0.000000,63,94,170,220,640,940,12000,12000,12000,12000,12000,46,0,63,439.543478260495,46.000000002095476,12030.999999988126,0.0
1618342027,1,,Aggregated,0.900000,0.000000,63,94,170,220,640,940,12000,12000,12000,12000,12000,47,0,63,431.85106382960396,46.000000002095476,12030.999999988126,0.0
1618342028,1,,Aggregated,1.000000,0.000000,63,94,170,220,640,940,12000,12000,12000,12000,12000,48,0,63,423.8333333329744,46.000000002095476,12030.999999988126,0.0
1618342029,1,,Aggregated,1.000000,0.000000,63,94,170,220,640,940,12000,12000,12000,12000,12000,48,0,63,423.8333333329744,46.000000002095476,12030.999999988126,0.0
1618342030,1,,Aggregated,1.000000,0.000000,63,94,170,220,880,1200,12000,12000,12000,12000,12000,49,0,63,439.40816326506376,46.000000002095476,12030.999999988126,0.0
1618342031,1,,Aggregated,0.900000,0.000000,78,110,170,220,880,1200,12000,12000,12000,12000,12000,50,0,63,432.8000000002794,46.000000002095476,12030.999999988126,0.0
1618342032,1,,Aggregated,0.800000,0.000000,78,110,170,220,640,1200,1400,12000,12000,12000,12000,51,0,78,426.76470588262686,46.000000002095476,12030.999999988126,0.0
1618342033,1,,Aggregated,0.800000,0.000000,78,110,170,220,640,1200,1400,12000,12000,12000,12000,52,0,78,420.6538461546118,46.000000002095476,12030.999999988126,0.0
1618342034,1,,Aggregated,0.800000,0.000000,78,110,170,220,640,1200,1400,12000,12000,12000,12000,52,0,78,420.6538461546118,46.000000002095476,12030.999999988126,0.0
1618342035,1,,Aggregated,0.800000,0.000000,78,110,170,220,640,1200,1400,12000,12000,12000,12000,53,0,78,416.84905660474885,46.000000002095476,12030.999999988126,0.0
1618342036,1,,Aggregated,0.800000,0.000000,78,110,170,220,640,1200,1400,12000,12000,12000,12000,54,0,78,411.1666666673652,46.000000002095476,12030.999999988126,0.0
1618342037,1,,Aggregated,0.800000,0.000000,78,110,170,220,640,1200,1400,12000,12000,12000,12000,55,0,78,404.83636363695206,46.000000002095476,12030.999999988126,0.0
1618342038,1,,Aggregated,0.800000,0.000000,78,110,170,220,640,1200,1400,12000,12000,12000,12000,56,0,78,399.28571428650423,46.000000002095476,12030.999999988126,0.0
1618342039,1,,Aggregated,0.800000,0.000000,78,110,160,220,640,1200,1400,12000,12000,12000,12000,57,0,78,393.1052631585197,46.000000002095476,12030.999999988126,0.0
1618342040,1,,Aggregated,0.700000,0.000000,78,110,160,220,640,1200,1400,12000,12000,12000,12000,58,0,78,387.1379310349484,46.000000002095476,12030.999999988126,0.0
1618342041,1,,Aggregated,0.800000,0.000000,78,110,160,220,640,1200,1400,12000,12000,12000,12000,59,0,78,381.6271186446163,46.000000002095476,12030.999999988126,0.0
1618342042,1,,Aggregated,0.900000,0.000000,78,110,160,220,640,1200,1400,12000,12000,12000,12000,60,0,63,376.05000000088086,46.000000002095476,12030.999999988126,0.0
1618342043,1,,Aggregated,0.900000,0.000000,63,110,120,190,620,940,1400,12000,12000,12000,12000,61,0,63,370.65573770612036,46.000000002095476,12030.999999988126,0.0
1618342044,1,,Aggregated,0.900000,0.000000,78,94,120,190,620,940,1400,12000,12000,12000,12000,62,0,63,366.19354838847124,46.000000002095476,12030.999999988126,0.0
1618342045,1,,Aggregated,0.900000,0.000000,78,110,160,190,620,940,1400,12000,12000,12000,12000,63,0,78,363.111111112327,46.000000002095476,12030.999999988126,0.0
1618342046,1,,Aggregated,0.900000,0.000000,78,110,160,190,620,940,1400,12000,12000,12000,12000,64,0,63,358.1718750010623,46.000000002095476,12030.999999988126,0.0
1618342047,1,,Aggregated,0.900000,0.000000,78,110,160,190,620,940,1400,12000,12000,12000,12000,64,0,63,358.1718750010623,46.000000002095476,12030.999999988126,0.0
1618342048,1,,Aggregated,0.900000,0.000000,63,94,120,190,620,940,1400,12000,12000,12000,12000,65,0,63,353.3846153855288,46.000000002095476,12030.999999988126,0.0
1618342049,1,,Aggregated,0.900000,0.000000,63,94,120,170,620,940,1400,12000,12000,12000,12000,66,0,63,348.7424242431933,46.000000002095476,12030.999999988126,0.0
1618342050,1,,Aggregated,0.900000,0.000000,63,94,120,170,620,940,1400,12000,12000,12000,12000,67,0,63,344.23880597077823,46.000000002095476,12030.999999988126,0.0
1618342051,1,,Aggregated,1.000000,0.000000,63,94,120,170,620,940,1400,12000,12000,12000,12000,68,0,63,340.0882352948161,46.000000002095476,12030.999999988126,0.0
1618342052,1,,Aggregated,1.000000,0.000000,63,94,120,190,620,940,1400,12000,12000,12000,12000,69,0,63,339.6956521745238,46.000000002095476,12030.999999988126,0.0
1618342053,1,,Aggregated,1.000000,0.000000,63,94,120,190,620,940,1400,12000,12000,12000,12000,70,0,63,335.72857142924994,46.000000002095476,12030.999999988126,0.0
1618342054,1,,Aggregated,0.900000,0.000000,63,94,140,170,310,940,1400,12000,12000,12000,12000,71,0,63,332.97183098678124,46.000000002095476,12030.999999988126,0.0
1618342055,1,,Aggregated,0.900000,0.000000,63,110,140,170,310,940,1400,12000,12000,12000,12000,72,0,63,330.3055555564545,46.000000002095476,12030.999999988126,0.0
1618342056,1,,Aggregated,0.900000,0.000000,63,110,140,170,310,940,1400,12000,12000,12000,12000,73,0,63,326.4246575350152,46.000000002095476,12030.999999988126,0.0
1618342057,1,,Aggregated,0.900000,0.000000,63,94,140,170,310,940,1400,12000,12000,12000,12000,74,0,63,322.86486486555077,46.000000002095476,12030.999999988126,0.0
1618342058,1,,Aggregated,0.900000,0.000000,63,94,140,170,310,940,1400,12000,12000,12000,12000,75,0,63,319.18666666761663,46.000000002095476,12030.999999988126,0.0
1618342059,1,,Aggregated,0.900000,0.000000,63,94,140,170,310,940,1400,12000,12000,12000,12000,76,0,63,315.8026315799553,46.000000002095476,12030.999999988126,0.0
1618342060,1,,Aggregated,0.900000,0.000000,63,94,140,170,310,940,1400,12000,12000,12000,12000,76,0,63,315.8026315799553,46.000000002095476,12030.999999988126,0.0
1618342062,1,,Aggregated,0.900000,0.000000,63,94,120,170,310,940,1400,12000,12000,12000,12000,77,0,63,312.5194805204058,46.000000002095476,12030.999999988126,0.0
1618342063,1,,Aggregated,0.900000,0.000000,63,94,120,170,310,940,1400,12000,12000,12000,12000,78,0,63,309.30769230867435,46.000000002095476,12030.999999988126,0.0
1618342064,1,,Aggregated,0.900000,0.000000,63,94,120,170,310,940,1400,12000,12000,12000,12000,79,0,63,306.17721519091083,46.000000002095476,12030.999999988126,0.0
1618342065,1,,Aggregated,0.900000,0.000000,63,94,120,170,310,940,1400,12000,12000,12000,12000,80,0,63,303.1375000009575,46.000000002095476,12030.999999988126,0.0
1618342066,1,,Aggregated,0.900000,0.000000,63,94,110,160,310,880,1400,12000,12000,12000,12000,81,0,63,299.97530864281464,46.000000002095476,12030.999999988126,0.0
1618342067,1,,Aggregated,0.900000,0.000000,63,94,110,160,310,880,1400,12000,12000,12000,12000,82,0,63,297.268292683861,46.000000002095476,12030.999999988126,0.0
1618342068,1,,Aggregated,0.900000,0.000000,63,94,110,160,310,880,1400,12000,12000,12000,12000,83,0,63,294.2530120490119,46.000000002095476,12030.999999988126,0.0
1618342069,1,,Aggregated,0.900000,0.000000,63,94,110,160,310,880,1400,12000,12000,12000,12000,84,0,63,292.0476190483896,46.000000002095476,12030.999999988126,0.0
1618342070,1,,Aggregated,0.900000,0.000000,63,94,110,160,310,880,1400,12000,12000,12000,12000,85,0,63,289.3411764714127,46.000000002095476,12030.999999988126,0.0
1618342071,1,,Aggregated,0.900000,0.000000,63,94,110,140,310,880,1400,12000,12000,12000,12000,86,0,63,287.2441860472886,46.000000002095476,12030.999999988126,0.0
1618342072,1,,Aggregated,0.900000,0.000000,63,94,110,140,310,880,1400,12000,12000,12000,12000,87,0,63,284.4827586213587,46.000000002095476,12030.999999988126,0.0
1618342073,1,,Aggregated,0.900000,0.000000,63,94,110,140,310,880,1400,12000,12000,12000,12000,88,0,63,281.77272727341256,46.000000002095476,12030.999999988126,0.0
1618342074,1,,Aggregated,0.900000,0.000000,63,94,110,140,310,880,1400,12000,12000,12000,12000,89,0,63,279.1348314612549,46.000000002095476,12030.999999988126,0.0
1618342075,1,,Aggregated,1.000000,0.000000,63,94,110,140,310,880,1400,12000,12000,12000,12000,90,0,63,276.544444445042,46.000000002095476,12030.999999988126,0.0
1618342076,1,,Aggregated,1.000000,0.000000,63,94,110,140,250,880,1400,12000,12000,12000,12000,91,0,63,274.0219780224744,46.000000002095476,12030.999999988126,0.0
1618342077,1,,Aggregated,0.900000,0.000000,63,94,110,140,250,880,1400,12000,12000,12000,12000,92,0,63,271.717391304897,46.000000002095476,12030.999999988126,0.0
1618342078,1,,Aggregated,0.900000,0.000000,63,94,110,140,250,880,1400,12000,12000,12000,12000,93,0,63,269.4731182800556,46.000000002095476,12030.999999988126,0.0
1618342079,1,,Aggregated,0.900000,0.000000,63,94,110,140,250,880,1400,12000,12000,12000,12000,94,0,63,267.265957447346,46.000000002095476,12030.999999988126,0.0
1618342080,1,,Aggregated,0.900000,0.000000,63,94,110,140,250,880,1400,12000,12000,12000,12000,95,0,63,265.11578947415967,46.000000002095476,12030.999999988126,0.0
1618342081,1,,Aggregated,0.900000,0.000000,63,94,110,140,250,880,1400,12000,12000,12000,12000,95,0,63,265.11578947415967,46.000000002095476,12030.999999988126,0.0
1618342082,1,,Aggregated,0.900000,0.000000,63,94,110,120,250,880,1400,12000,12000,12000,12000,96,0,63,263.0000000005263,46.000000002095476,12030.999999988126,0.0
1618342083,1,,Aggregated,0.900000,0.000000,63,94,110,120,250,880,1400,12000,12000,12000,12000,97,0,63,260.93814433036255,46.000000002095476,12030.999999988126,0.0
1618342084,1,,Aggregated,0.900000,0.000000,63,93,110,120,250,880,1400,12000,12000,12000,12000,98,0,63,259.0714285719774,46.000000002095476,12030.999999988126,0.0
1618342085,1,,Aggregated,0.900000,0.000000,63,93,110,120,250,880,1400,12000,12000,12000,12000,99,0,63,256.9292929297492,46.000000002095476,12030.999999988126,0.0
1618342086,1,,Aggregated,0.900000,0.000000,63,93,110,120,250,880,1400,12000,12000,12000,12000,100,0,63,254.83000000036554,46.000000002095476,12030.999999988126,0.0
1618342087,1,,Aggregated,0.900000,0.000000,63,78,110,110,220,640,1200,1400,12000,12000,12000,101,0,63,252.92079207962286,46.000000002095476,12030.999999988126,0.0
1618342088,1,,Aggregated,1.000000,0.000000,63,78,110,110,220,640,1200,1400,12000,12000,12000,102,0,63,250.90196078464015,46.000000002095476,12030.999999988126,0.0
1618342089,1,,Aggregated,1.000000,0.000000,63,78,110,110,220,640,1200,1400,12000,12000,12000,103,0,63,249.06796116542378,46.000000002095476,12030.999999988126,0.0
1618342090,1,,Aggregated,1.000000,0.000000,63,78,110,110,220,640,1200,1400,12000,12000,12000,104,0,63,247.1250000002888,46.000000002095476,12030.999999988126,0.0
1618342091,1,,Aggregated,1.000000,0.000000,63,78,110,110,220,640,1200,1400,12000,12000,12000,105,0,63,245.3714285716636,46.000000002095476,12030.999999988126,0.0
1618342092,1,,Aggregated,1.000000,0.000000,63,78,110,110,220,640,1200,1400,12000,12000,12000,105,0,63,245.3714285716636,46.000000002095476,12030.999999988126,0.0
1618342093,1,,Aggregated,1.000000,0.000000,63,78,110,110,250,840,1200,1400,12000,12000,12000,106,0,63,251.00943396243548,46.000000002095476,12030.999999988126,0.0
1618342094,1,,Aggregated,0.900000,0.000000,63,78,110,110,250,840,1200,1400,12000,12000,12000,107,0,63,249.2523364487178,46.000000002095476,12030.999999988126,0.0
1618342095,1,,Aggregated,0.900000,0.000000,63,78,110,110,250,840,1200,1400,12000,12000,12000,108,0,63,247.37962962966844,46.000000002095476,12030.999999988126,0.0
1618342096,1,,Aggregated,0.900000,0.000000,63,78,110,110,250,840,1200,1400,12000,12000,12000,109,0,63,245.54128440362913,46.000000002095476,12030.999999988126,0.0
1618342097,1,,Aggregated,0.900000,0.000000,63,78,110,110,250,840,1200,1400,12000,12000,12000,110,0,63,244.01818181821992,46.000000002095476,12030.999999988126,0.0
1618342098,1,,Aggregated,0.800000,0.000000,63,78,110,110,220,840,1200,1400,12000,12000,12000,111,0,63,242.3873873873769,46.000000002095476,12030.999999988126,0.0
1618342099,1,,Aggregated,0.800000,0.000000,63,78,110,110,220,840,1200,1400,12000,12000,12000,112,0,63,240.63392857143688,46.000000002095476,12030.999999988126,0.0
1618342100,1,,Aggregated,0.800000,0.000000,63,78,94,110,220,840,1200,1400,12000,12000,12000,113,0,63,239.06194690261572,46.000000002095476,12030.999999988126,0.0
1618342101,1,,Aggregated,0.800000,0.000000,63,78,94,110,220,840,1200,1400,12000,12000,12000,114,0,63,237.51754385956335,46.000000002095476,12030.999999988126,0.0
1618342102,1,,Aggregated,0.800000,0.000000,63,78,94,110,220,840,1200,1400,12000,12000,12000,115,0,63,235.86086956505744,46.000000002095476,12030.999999988126,0.0
1618342103,1,,Aggregated,0.900000,0.000000,63,78,94,110,220,840,1200,1400,12000,12000,12000,116,0,63,234.36206896540483,46.000000002095476,12030.999999988126,0.0
1618342104,1,,Aggregated,0.900000,0.000000,63,78,94,110,220,840,1200,1400,12000,12000,12000,117,0,63,232.88888888882323,46.000000002095476,12030.999999988126,0.0
1618342105,1,,Aggregated,0.900000,0.000000,63,78,94,110,220,840,1200,1400,12000,12000,12000,118,0,63,231.31355932214242,46.000000002095476,12030.999999988126,0.0
1618342107,1,,Aggregated,0.900000,0.000000,63,78,94,110,220,840,1200,1400,12000,12000,12000,119,0,63,229.89075630267362,46.000000002095476,12030.999999988126,0.0
1618342108,1,,Aggregated,0.900000,0.000000,63,78,94,110,220,840,1200,1400,12000,12000,12000,120,0,63,228.49166666686264,46.000000002095476,12030.999999988126,0.0
1618342109,1,,Aggregated,1.000000,0.000000,63,63,94,110,220,640,1200,1400,12000,12000,12000,121,0,63,227.12396694229884,46.000000002095476,12030.999999988126,0.0
1618342110,1,,Aggregated,1.000000,0.000000,63,63,94,110,220,640,1200,1400,12000,12000,12000,122,0,63,225.6475409836848,46.000000002095476,12030.999999988126,0.0
1618342111,1,,Aggregated,1.000000,0.000000,63,63,94,110,220,640,1200,1400,12000,12000,12000,123,0,63,224.3252032520666,46.000000002095476,12030.999999988126,0.0
