Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1618333266,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1618333267,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1618333268,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1618333269,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1618333270,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1618333271,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1618333272,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1618333273,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1618333274,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1618333275,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1618333276,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1618333277,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1618333278,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1618333279,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1618333280,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1618333281,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1618333282,1,,Aggregated,0.000000,0.000000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,1,0,16077.99999997951,16077.99999997951,16077.99999997951,16077.99999997951,0.0
1618333283,1,,Aggregated,0.000000,0.000000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,1,0,16077.99999997951,16077.99999997951,16077.99999997951,16077.99999997951,0.0
1618333284,1,,Aggregated,0.000000,0.000000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,2,0,640.0000000139698,8358.99999999674,640.0000000139698,16077.99999997951,0.0
1618333285,1,,Aggregated,0.100000,0.000000,640,640,16000,16000,16000,16000,16000,16000,16000,16000,16000,3,0,640.0,5625.0,157.00000000651926,16077.99999997951,0.0
1618333286,1,,Aggregated,0.100000,0.000000,640,640,16000,16000,16000,16000,16000,16000,16000,16000,16000,3,0,640.0,5625.0,157.00000000651926,16077.99999997951,0.0
1618333287,1,,Aggregated,0.100000,0.000000,640,640,16000,16000,16000,16000,16000,16000,16000,16000,16000,4,0,340.0,4304.49999999837,157.00000000651926,16077.99999997951,0.0
1618333288,1,,Aggregated,0.200000,0.000000,340,640,640,16000,16000,16000,16000,16000,16000,16000,16000,5,0,340.0,3465.599999995902,109.99999998603016,16077.99999997951,0.0
1618333289,1,,Aggregated,0.300000,0.000000,340,340,640,640,16000,16000,16000,16000,16000,16000,16000,6,0,160.0,2901.1666666629026,78.99999999790452,16077.99999997951,0.0
1618333290,1,,Aggregated,0.500000,0.000000,280,340,640,640,16000,16000,16000,16000,16000,16000,16000,7,0,280.0,2526.85714285222,78.99999999790452,16077.99999997951,0.0
1618333291,1,,Aggregated,0.500000,0.000000,280,340,640,640,16000,16000,16000,16000,16000,16000,16000,7,0,280.0,2526.85714285222,78.99999999790452,16077.99999997951,0.0
